[0] ms, LOG; Program starts; in file /home/krzysztof/c-cut/main.c; at line 84
[1] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[101] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[201] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[302] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[402] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[502] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[603] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[703] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[803] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[904] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1004] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1104] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1205] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1305] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1406] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1506] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1606] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1707] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1807] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[1907] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2007] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2108] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2208] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2308] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2409] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2509] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2609] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2710] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2810] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[2911] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3011] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3111] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3212] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3312] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3412] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3513] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3613] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3713] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
[3814] ms, LOG; Enqueue works!; in file /home/krzysztof/c-cut/source/threads/readerThread.c; at line 45
